smiles,esol,bbbp,hergc10,qed,NumHDonors,NumHAcceptors
CC(C)(C)OC(=O)NC[C@H](c1ccc(Cl)cc1)N(C(=O)N1[C@H]2CC[C@@H]1C[C@H](NC(=O)c1cn[nH]c1)C2)c1ccc(O)cc1,-5.7764,0.3952,0.2371,0.2836462,4,6
C[C@H](Cc1ccccc1B(O)O)C(=O)N1CCCCCCC1,-3.2359,0.4898,0.0117,0.825248758,2,3
CC(C)Cc1cccc(N[C@H](CC(=O)N2CCC3(CCCN(C(=O)/C=C/C(=O)NCc4ccccc4)C3)CC2)C(=O)O)c1,-4.7973,0.3067,0.0426,0.338054796,3,5
Cc1ccc(NC(=O)c2ccnc(N)c2)cc1-c1ccc(C(=O)NCC2CC2)cc1,-5.5356,0.4364,0.2904,0.581845227,3,4
C=CC(F)=C(O)SC(CCO)C(=O)NNC(=O)c1ccccc1Nc1ccc(C(F)(F)F)cc1,-5.0409,0.3008,0.3735,0.149595461,5,6
Cc1cc(B(O)O)ccc1C(C)N1CCN(C(=N)N)CC1,-1.4969,0.2333,0.0322,0.333480737,4,4
Cc1ccc(F)cc1-n1nc(C(C)(C)C)cc1B(O)O,-3.8676,0.6468,0.029,0.812705266,2,4
Cc1cc(CCC(N=C(c2ccccc2)c2ccccc2)C(=O)O)cc(C)c1-c1cc2ccccc2[nH]1,-6.1046,0.2671,0.4782,0.224835117,2,2
CC(C)C(c1cc(N[C@@H](C)c2ccc(Br)s2)ccc1N1CCC(O)CC1)C(C)C,-6.1257,0.5565,0.9934,0.447132649,2,4
C[C@H]1CC(=O)Nc2ccc(C(=O)N[C@@H](C)c3ncc(-c4cc(Cl)ccc4Cl)s3)cc2N1,-5.3759,0.5958,0.1769,0.448828115,3,5
CCCCC(O[C@@H](C(=O)NC1(CNC(=O)CCC2CCCC2)CC1)C1CC1)C(C)C,-5.2668,0.4653,0.7276,0.426744127,2,3
C#CC(CC(C)C)C(C)C[Si](C)(C)C(=O)N1CCCCC1CNC(=O)NC(Cc1ccccc1)B1OC2CC3CC(C3(C)C)C2(C)O1,-7.33,0.4955,0.8709,0.181329524,2,4
CC(=O)Nc1ccc(CC(=O)N2CC[NH+](CC(=O)Nc3c(C)cccc3-c3cc(Cl)ccc3Cl)CC2)cc1,-5.072,0.281,0.3532,0.415414326,3,3
CC(c1ccc(OCC(=O)Nc2cc([C@@H]3CCCCN3C(=O)CS[C@H]3CCCCO3)[nH]n2)cc1)C(F)(F)F,-6.0073,0.496,0.0395,0.43065048,2,6
COCc1c(C(=O)OCC(=O)NC[NH2+]N)oc2ccccc12,-2.5553,0.8977,0.0388,0.267711779,3,6
CNCC(=O)NCOC(=O)N1CC[C@@]2(C[C@@H]2C(=O)N2CCCC23CN(C(=O)c2cnc4ccccn24)C3)C1,-2.6432,0.5504,0.0207,0.521160735,2,8
CCCCC(c1cc(NC(=O)N[C@H](CO)[C@@H](O)CCC)ccc1OC(C)C)C(C)C,-4.8785,0.3125,0.46,0.358071087,4,4
CC(CCC[C@@H]1CCN(C(=O)c2ccc3c(c2)NC(=O)CO3)[C@H]1c1cccnc1)CCNc1cccc(O)n1,-5.4316,0.4517,0.6042,0.33742964,3,7
CCCCC(=O)NC[C@@H](C)NCC(=O)Nc1ccccc1B(O)O,-1.6703,0.5839,0.1589,0.373455671,5,5
[NH3+]C1CCCCC1Cc1cccc(B(O)O)c1,-1.6441,0.8138,0.0129,0.628889853,3,2
CC(=CC=CO)c1nc2c(cc1F)c(=O)c(C(=O)NC(C)(C)C1CC1)cn2-c1c(F)cc(F)cc1F,-6.4047,0.4439,0.2227,0.27155753,2,5
Cn1c(=O)c(C(=O)CN2CCC(C(N)=O)CC2)c(N)n(Cc2ccccc2)c1=O,-3.4208,0.7354,0.2868,0.632644173,2,8
C=CC(=O)N[C@@H](C)C(=O)NC[C@@]12CCCO[C@@H]1CCN(C(=O)C1(c3ccccc3)CCCC1)C2,-4.4805,0.4298,0.0416,0.603879379,2,4
CC(C)[C@@H](c1ccccc1)C1(C(=O)c2ccccc2)C(Br)OCC(O)(C(=O)c2ccccc2)C1(O)C(=O)c1ccccc1,-6.0811,0.5605,0.1669,0.165068754,2,6
C=CC(F)=C(O)SC(CCC(=O)c1ccc(N)cc1)C(C)CC(C)C1OC(=O)CC(=O)CCCC(=O)CC(O)CC(O)CC(O)CC2(O)CC(O)C(NC(=O)NCCN)C(CC(OC3OCC(O)C(N)C3O)C=CC=CC=CC=CC=CC=CC=CC1C)O2,-2.8916,0.0636,0.1717,0.024857715,13,21
C=CC(F)=C(O)SC(CCOc1ccc2c(c1)OCO2)CNC(=O)Nc1ccc(C(=O)NCC(F)(F)F)cc1,-5.8541,0.4633,0.1954,0.155533335,4,7
CC1=NN(c2ccc(C(=O)Nc3nc4c(s3)C[C@H](C(=O)Nc3cc(Br)ccc3CS(C)(=O)=O)CC4)cc2)C(=O)C1,-5.2105,0.1961,0.1361,0.387108664,2,8
CC(C)Oc1ccc(Oc2ccc([C@@H]3C[C@@H]3C(=O)Nc3cc([C@@H]4CCCCN4C(=O)CNC(=O)C(F)(F)F)[nH]n3)cc2)cc1,-6.3273,0.4162,0.2833,0.278845698,3,6
C=CC(=O)Nc1ccccc1Nc1nc(NC)ncc1Cl,-4.3094,0.5866,0.0756,0.73994044,3,5
Cc1cc(C(=O)O)c(OC(C)C)c(C(=O)O)c1B(O)O,-1.9827,0.2203,0.0046,0.553730392,4,5
O=C(NCc1cnc(B(O)O)cn1)c1ccc(I)c(O)c1,-2.9677,0.2503,0.0069,0.403398817,4,6
CCCCC(O[C@H](C)[C@H](NCc1ccc(-n2cnc(C)c2C)cc1)C(=O)O)C(C)C,-2.788,0.3029,0.4625,0.527549998,2,5
C[C@@H]1CCCN(C(=O)C2CCN(C(=O)NCc3ccc(CN4CCC(O)CC4)cc3)CC2)C1,-2.9626,0.3589,0.0219,0.714485159,2,4
CC(C)(CN1CCC(CNc2cc(-c3ccccc3)ccc2C(=O)O)CC1)S(N)(=O)=O,-4.1047,0.3107,0.1855,0.574942688,3,5
C=C(C)COc1c(C)c(CCC=O)c2c(c1B(O)O)CC(C)(C)O2,-3.9661,0.5997,0.0299,0.449306569,2,5
CC(C)NC(=O)CN1CCC2(O)CCN(c3cc(N)ncn3)CC2C1,-2.1517,0.5847,0.0668,0.694172505,3,7
CC[C@H](C)NC(=O)[C@@H](C)NC(=O)Nc1cc(B(O)O)n([C@@H](C)CC)n1,-3.1853,0.5241,0.0021,0.419013458,5,6
Cc1cc(CCC(=O)Nc2ccc(N=C(C(=C(N)C(F)(F)F)C3CC3)C3CC3)nc2)cc(C)c1N1NNc2ccccc21,-6.8923,0.348,0.6124,0.2019454,4,7
CC(C)Cc1cccc(OC2Nc3cscc3C(=O)N2c2c(C(=O)O)n(CC3C=C(C#N)C=CC3C)c3ccc(C(F)(F)F)cc23)c1,-6.8363,0.1759,0.5151,0.196866439,2,7
C=CC(F)=C(SC(CCc1ccc(C(=O)NCCS(=O)(=O)O)cc1)c1ccc(C(C)(C)C)cc1)c1cc(-c2ccc(-c3ccc(F)cc3F)cc2)on1,-6.0434,0.2585,0.8339,0.085675147,2,6
CC(C)(C)C1NC(C(=O)NCCCN2CCN(CCO)CC2)C(c2ccc(F)c(Cl)c2)C12C(=O)Nc1cc(Cl)c(F)cc12,-4.2658,0.5444,0.9792,0.329451882,4,6
CC[C@H](c1cccc(Cl)c1)[C@@H](C)[C@@H]1CCC[C@@H](NC(=O)NCc2cnccc2C(F)(F)F)CC1,-6.2936,0.7632,0.7758,0.394865846,2,2
CC(C)(C)OC(=O)N[C@@H]1CCO[C@H](C2CCN(C(=O)NCC3([S@@](=O)c4cc(Cl)ccc4Cl)CCC3)CC2)C1,-5.8754,0.713,0.4396,0.45659115,2,5
CC(C)C(CO)NC(=O)C=Cc1ccc(C(N)=O)cc1,-2.3117,0.5444,0.0088,0.674839037,3,3
CC(C)c1csc(Nc2nnc(-c3ccc4c(c3)OCO4)c(NC(=O)Nc3ccccc3)n2)n1,-6.4643,0.4888,0.3544,0.346152277,3,9
C=CC(F)=C(O)SC(CN1CCOCC1)C(=O)N1CC[C@@H](CNC(=O)c2c(C)cccc2F)[C@@H]1c1cccnc1,-3.5922,0.384,0.2146,0.326147332,2,7
CCCCC(c1cc(C)cc2[nH]c(C(=O)N[C@H](C)CNC(=O)CC(C)C)cc12)C(C)C,-5.8034,0.5618,0.8747,0.431048833,3,2
CCOC(=O)C1=C(CC)Nc2ccccc2N=C1N=Cc1c(O)n(CCOC)c(=S)[nH]c1=O,-5.0527,0.6487,0.1083,0.321353211,3,10
O=C(Nc1cn[nH]c1)c1c[nH]c2nc(B(O)O)ccc2c1=O,-3.9145,0.4525,0.0096,0.375310412,5,6
COc1cc(CNC(=O)N(C)[C@@H]2CCC(C)(C)C2)ccc1C(=O)O,-3.4329,0.3184,0.0101,0.86700655,2,3
CC(C)Cc1cccc(-c2nc(Nc3cccc(C(=O)NCc4csc(Cc5ccccc5)n4)c3)cc(-c3ccccc3)n2)c1,-6.599,0.343,0.7547,0.153568428,2,6
CNC(=O)CCn1c(CNC(=O)c2cccs2)nnc1N1CC[C@H](Cc2ccc(F)cc2)C1,-4.2725,0.6578,0.2969,0.501674621,2,7
O=C(O)c1cc(Cl)ccc1NC(=O)C(Cc1ccc(-c2ccccc2)cc1)NC[P+]([O-])(O)O,-3.6043,0.1184,0.2402,0.291410648,5,6
CC(C)N[C@H](C(=O)N[C@H]1[C@@H]2COC[C@H]1CN(C(=O)CNC(=O)c1cccs1)C2)C(C)C,-2.3434,0.1772,0.0755,0.550654405,3,6
O=C(Nc1ccc(B(O)O)c(Br)c1)C1CCC2CCCCC2C1,-4.9035,0.5521,0.0229,0.706834045,3,3
CC(C)Cc1cccc(-c2c(OC3CCN(C)CC3)ccc3cc(NC(=O)NCc4ccc(OC(F)(F)F)cc4)c(=O)oc23)c1,-6.439,0.451,0.8179,0.189515143,2,6
CC(C)Cc1cccc(-c2cccc(N3NNC4=C3C=CN(C(=O)c3cccc(C(F)(F)F)c3Cl)C4C)n2)c1,-7.0984,0.3027,0.8969,0.367262928,2,5
COC(=O)C=C1c2ccccc2NC(=O)NC1Cc1ccccc1,-4.5111,0.9542,0.0037,0.674161854,2,3
COC1CCCC(C2CCC3C(CC(O)C3C(CCCCC(=N)N)C(=O)O)C2)C1,-3.1874,0.379,0.0607,0.26294183,4,4
CC(C)Cc1cccc(OC(=O)CCC(=O)N2CCCC[C@@H]2c2cc(NC(=O)[C@@H]3Cc4[nH]nc(C(F)(F)F)c4C3)n[nH]2)c1,-6.2369,0.5618,0.1983,0.230108923,3,6
CCCCC(c1ccc(C(=O)N[C@@](C)(C#N)C2CCCCC2)cc1NC(=O)c1ccccc1F)C(C)C,-7.2649,0.4949,0.6905,0.34870592,2,3
Cc1nc(C(=O)N[C@@H]2CCc3nc(NC(=O)c4nccnc4C(N)=O)sc3C2)ccc1F,-3.7853,0.3565,0.139,0.525717785,3,8
CCC(C)n1nc(NC(=O)NC2CS(=O)(=O)c3ccccc32)cc1-c1ccc(Cl)cc1I,-5.9175,0.6372,0.4129,0.39138486,2,5
N=C([O-])NC(=O)c1ccccc1NSc1cccc(F)c1,-3.5038,0.5294,0.0211,0.457625203,3,5
CC(C)N1CC[C@@H](N(C)C(=O)c2cn3ccc(B(O)O)cc3n2)C1,-2.2215,0.3075,0.0228,0.743753569,2,6
Cc1cc(B(O)O)n2ncc(C(=O)N(C)C3CCCNC3)c2n1,-2.4168,0.5784,0.0214,0.598156299,3,7
CCCC(=O)NCC(C)(C)CCn1c(-c2ccccc2C)nnc1N1CCC[C@@H](CNC(=O)C(C)C)C1,-5.0753,0.7516,0.3629,0.436253212,2,6
N=C(C1=C(NC2CCOCC2)CCN(C=O)C1)N1CCCc2cc(-c3cnc(C4CC4)s3)c(C(F)F)cc21,-4.6653,0.5678,0.1804,0.284735646,2,6
CCc1nnc(N2CC[C@@](C)(CC)C2)n1CCc1csc(B(O)O)n1,-3.7919,0.6092,0.4028,0.709451936,2,8
O=C(Nc1ccc(CC(=O)N2CCCC2)cc1)c1ccc(B(O)O)s1,-4.0263,0.2849,0.1729,0.691490077,3,5
CC(CCCC(=O)N[C@@H]1CCc2nc(NC(=O)[C@@H](C)Cc3ccccc3)sc2C1)CCNC(F)(F)F,-5.1759,0.6536,0.7247,0.331809496,3,5
CC(=S)NCC1CN(C(C)C(C)N2C=NN(C(=O)CO)CC2)C(=O)O1,-1.7669,0.2935,0.006,0.613314037,2,7
CC1CCC(N2C[C@H](C(=O)NC(CO)CO)CC2=O)CC1,-1.3087,0.3605,0.0015,0.660093188,3,4
CC(C)C(Nc1ccc(N2CCOCC2)c(C(=O)Nc2ccc(N3CCc4sccc4C3)cc2)c1)c1cccs1,-6.5867,0.3716,0.6957,0.232582463,2,7
CC(=O)Nc1ccc(-c2cc(Cl)ccc2NC(=O)c2cn(Cc3ccc(C)cc3)nc2-c2ccc(C)cc2)cc1,-6.667,0.1931,0.5064,0.218200487,2,4
CCCCC(C(C)C)S(=O)(=O)CCN(C)CC(CO)(NCC)c1ccccc1,-1.4158,0.626,0.9352,0.491466824,2,5
O=C(Nc1cc([C@@H]2C[C@H]3CC[C@H]2C3)[nH]n1)c1cc(-c2ccccc2)no1,-6.0879,0.8108,0.0167,0.739197005,2,4
O=C(NCCC(=O)N1CCO[C@]2(CCN(C(=O)c3[nH]cnc3-c3cccnc3)C2)C1)c1ccccc1,-3.6074,0.2886,0.0925,0.545362276,2,6
Cc1cc(C(C)(C)C)ccc1NCC(C)(C)CCN,-2.9069,0.9061,0.9857,0.838842076,2,2
CCCCC(C(C)C)[NH+]1CCC(c2cc(N(C)C(=O)[O-])cc(Nc3nc(NCC)c4[nH+]cc(C#N)n4n3)c2Cl)CC1,-6.087,0.3969,0.6187,0.315577074,3,8
CCCCC(Oc1cc(-c2cc(C)c3c(OC)ccc(OC)c3n2)cc2c1OCCN(C(=O)C1CNNC1)C2)C(C)C,-5.6628,0.4475,0.8265,0.337449239,2,8
CC(C)Cc1cccc(-c2cnc(O)n2-c2ccc(C(=O)O[C@H](C)C(=O)N[C@H](C)c3ccc(S(N)(=O)=O)cc3)cc2)c1,-5.3284,0.1037,0.1728,0.229659869,3,8
CCCCC(OC(=O)c1ccnc(NC(=O)N[C@@H]2CC[C@H]3CCCC[C@H]3C2)c1)C(C)C,-6.1246,0.4497,0.9197,0.501661806,2,4
CC(Br)=Cc1cccc(C)c1-c1c[nH]c(Nc2ccc3ncc(-c4cnn(CC5CN(S(C)(=O)=O)C5)c4)cc3n2)c1,-5.6636,0.3941,0.6875,0.211398219,2,7
CON(C(=O)C(C)C(=O)C12CN(S(=O)(=O)O)C1CCN2)c1ccco1,-2.0991,0.1541,0.0195,0.391353407,2,7
CC(CCCC(=O)NC[C@H]1CCN(C(=O)[C@@H]2C[C@H]3CC[C@@H]2O3)[C@@H]1c1cccnc1)CCNc1ccco1,-4.4587,0.5047,0.7242,0.436462297,2,6
CC(C)[C@H](C[C@@H](NC(=O)Nc1ccc(S(=O)(=O)N[C@@H](C)[C@H]2C[C@H]3CC[C@H]2C3)cc1)[C@H]1CCOC1)c1ccccc1,-6.3596,0.2047,0.5296,0.303632846,3,4
CCCCC(c1cc(F)cc(NC(=O)N2CC[C@H](NC(=O)OC(C)(C)C)C[C@H]2C)c1)C(C)C,-6.1659,0.7752,0.8958,0.474582148,2,3
CC(C)Cn1c(N)c(N(CC(=O)NCC(=O)O)C(=O)Cc2ccccc2F)c(=O)[nH]c1=O,-2.8699,0.6453,0.0686,0.407123694,4,7
CC1(Cc2ccc(C#N)cc2)C(=O)N(c2cc(Cl)cc(Cl)c2)c2[nH+]cc(C(=O)NC3(C(=O)NC4(c5ccc6cccnc6n5)CC4)CC3)n21,-6.3315,0.3273,0.5776,0.230704025,2,7
NC(=O)CCN(C(=O)CO)c1cccc(B(O)O)c1,-1.4687,0.8615,0.001,0.425958098,4,5
CCCCC(c1ccc(Cc2nnc(NC(=O)N[C@H](C)c3ccc(F)cc3)s2)cc1)C(C)C,-6.7288,0.5064,0.7838,0.333986063,2,4
CCC(=O)Nc1ccc(Cl)c(NC(=O)N[C@H](C)CC(C)(C)Oc2cc(Cl)ccc2Cl)c1,-6.4173,0.3054,0.3137,0.38578266,3,3
CC[C@H](CNC(=O)c1cn(C)nc1C(C)(C)C)NCc1ccccc1,-3.002,0.8278,0.2397,0.813057063,2,4
O=C1C2CC(COc3ccccc3)C3(O)OC(c4ccc(O)cc4Cl)CC3C2C(=O)N1c1cc(C(F)(F)F)cc(C(F)(F)F)c1,-6.76,0.4738,0.325,0.233210137,2,6
CCCCC(c1oc2ccccc2c1CNC(=O)N[C@H]1CCO[C@H](C2CC2)C1)C(C)C,-6.0733,0.688,0.9946,0.507643475,2,3
CCCNC(=O)c1ccc2nc(-c3ccccc3-c3nc(C)c(C)[nH]3)[nH]c2c1,-5.3829,0.5739,0.4011,0.485201377,3,3
CC(=O)Nn1c(C)cc(CN2CCCC2c2c(B(O)O)noc2C)c1C,-2.4712,0.5483,0.0055,0.671572482,3,7
Cc1ccc2[nH]c(CNCC3(N(C)C)CCSC3)nc2c1C,-2.6949,0.9287,0.8214,0.889535883,2,4
N=C(O)NN(C(=O)c1nn(-c2ccccc2)c(-c2ccccc2)c1C(=O)c1ccccc1)c1ccccc1,-5.9018,0.275,0.2619,0.12461387,3,5
CC(C)COc1cccc(NC(=O)N2CCOC(CN(C)CC(=O)O)C2)c1,-1.4117,0.3533,0.0182,0.717596631,2,5
CC1CCN(c2ccc(NC(=O)CN3C(=O)NC4(CCC(C)CC4)C3=O)cc2)CC1,-5.4873,0.8142,0.0895,0.743243527,2,4
CCC(=O)Nc1ccc(S(=O)(=O)c2ccc(C)cc2)cc1N=C(NC(=O)OC)NC(=O)OC,-5.214,0.1105,0.0136,0.443026913,3,8
CCCCOC[C@H](O)CN[C@@H]1CCO[C@H]1c1ccc(Cl)c(F)c1,-3.0458,0.9212,0.9441,0.675284432,2,4
CC(C)(C)c1ccc(C(=O)NC(C)(C)C(C(=O)NC(C)(C)C(C)(C)C(=O)N2CCC2=O)c2cc3cccc(N)c3o2)cc1,-7.0819,0.2578,0.0229,0.241974572,3,6
CC(C)C1Cc2cc(OCCCOc3cc(Cl)ccc3Cl)c(OCC(F)F)nc2-c2[nH]c(=O)c(C(=O)O)c(O)c21,-5.8745,0.172,0.2318,0.231217646,3,7
CC12C=C(c3cccc4c3c3ccccc3n4-c3ccccc3)C=CC1N(c1cc(-c3ccccc3)cc(NC(=O)NCCO)n1)c1ncccc12,-7.2448,0.5679,0.6919,0.156504722,3,6
CC(C)c1csc(Nc2c(N(N=[N+]=[N-])Nc3cccc4ccccc34)c(-c3ccccc3)cc3ccccc23)n1,-7.0805,0.3726,0.8557,0.086803851,2,5
CC(C)(C)CC(=O)N[C@@H]1CCCC[C@H]1CNC(=O)CS(N)(=O)=O,-2.219,0.7774,0.0003,0.648137312,3,4
Cc1cc(CCc2cc3ccccc3s2)cc(C)c1Oc1cccc2c1C(=O)N(C1CCC(O)NC1=O)C2=O,-6.0794,0.3603,0.7207,0.324240851,2,6
COc1cccc(Nc2nncc(NCc3ccc(OC)c(OC)c3)n2)c1,-4.9931,0.4968,0.6313,0.626974404,2,8
COc1ccccc1[C@@H](CNC(=O)[C@@H](C)OC)NCCCC1CCC1,-2.0716,0.846,0.1117,0.603559497,2,4
C=CCN1C(=O)C(=Cc2cccc(OC(C)C(=O)O)c2)SC1=Nc1ccc(C(=O)O)cc1,-4.3737,0.1735,0.0402,0.458777935,2,6
Cc1cc(C(=O)N2C[C@H](O)Cc3ccccc32)c2c(C)n[nH]c2n1,-3.7803,0.5722,0.002,0.718956572,2,4
C[C@H](C(=O)N1CCC(CNC(=O)CCCC2CC2)CC1)S(N)(=O)=O,-2.6103,0.7621,0.015,0.661021149,2,4
CCCCC(Nc1ccc([N+](=O)[O-])cc1C(=O)N1CC[C@H]2CC[C@@H](C1)N2)C(C)C,-4.8716,0.6498,0.9795,0.502845613,2,5
CCC(CC)[C@H](CC[C@@](C)(CC)NC(=O)Nc1cc(NC(=O)C2CC2)ccc1C)OC,-5.9634,0.3598,0.1611,0.387386084,3,3
C[C@@H]1C[C@H](CNc2cc(N3CCCC[C@H]3CO)ncn2)CCO1,-2.7221,0.5938,0.0129,0.865192862,2,6
C[C@H](CC(=O)NC[C@H](C)NC(=O)c1cncc(B(O)O)c1)CC(C)(C)C,-3.5867,0.6301,0.05,0.501605976,4,5
C=C(C)[C@@H]1OCC[C@@H]1CCc1cc(C)c(NC(=O)CCNS(=O)(=O)c2ccc3ccccc3c2)c(C)c1,-5.4094,0.2318,0.1637,0.337104083,2,4
CC(C)N1CCC(OC2CCN(c3ccc(C(O)NCCCCl)cc3)CC2)CC1,-2.6365,0.5707,0.7337,0.359563859,2,5
CCCCC(c1nc(C)[nH]c1C(=O)NCC1(NC(=O)CC[C@H](C)CC)CC1)C(C)C,-5.0618,0.4397,0.8173,0.427706752,3,3
CCCCC(C(C(=O)N1CCNCC1)c1ncc[nH]1)[C@@H](C)n1c(C)nc2ccc(OC)cc21,-2.8792,0.4858,0.4095,0.517321046,2,6
CCCNC(=O)OC[C@H]1CCCCN1CC1CCC(C(CCC)(NC(C)=O)C(=O)[O-])CC1,-2.7305,0.273,0.1562,0.497226417,2,6
COc1ccc(C(Br)c2c(F)ccc(B(O)O)c2F)cc1C,-4.6416,0.509,0.0196,0.641622957,2,3
CNC(=O)c1ccc2nc(B(O)O)c(Cl)nc2c1,-3.0383,0.3899,0.0026,0.625596807,3,5
Cc1cc(C)c(O)c(CN(Cc2ccccn2)Cc2cc(C)cc(C)c2O)c1,-4.3777,0.4127,0.8908,0.64045918,2,4
CC[C@@H](C(=O)Nc1nc(-c2ccc(CCCCN=CNC(=O)O)cc2)cs1)c1cccc(Cl)c1,-5.2434,0.283,0.4661,0.16580977,3,5
CC(C)(C)OC(=O)N[C@@H]1CCC[C@@H](C(=O)N2[C@H]3CC[C@@H]2C[C@H](NC(=O)c2ccccc2C(C)(C)C)C3)C1,-5.6985,0.5701,0.5764,0.572777026,2,4
CSCC[C@H](O)C(=O)Nc1cc([C@H]2CCCCN2C(=O)[C@@H]2CC(=O)N(Cc3ccccc3)C2)[nH]n1,-4.5697,0.2591,0.0428,0.488037588,3,6
O=C(O)c1ccccc1C(=O)c1cc(N=Nc2ccc(S(=O)(=O)O)cc2)c2ccccc2c1O,-4.0074,0.0546,0.0927,0.19778126,3,7
O=C(NCc1cccc(B(O)O)c1)c1ccc(F)c(F)c1F,-3.0551,0.5367,0.0022,0.575511289,3,3
CCCCC(Oc1cc(C[NH+](C)CC(=O)Nc2cccc(OC)c2)ccc1OC(F)F)C(C)C,-5.8205,0.5766,0.9672,0.41763338,2,4
Cc1cccc(C)c1NC(=O)C(=O)NC[C@@]12CCCO[C@@H]1CCN(C(=O)c1cn3ccccc3n1)C2,-4.9889,0.2158,0.0146,0.548595158,2,6
Cc1c(CNC(=O)N2CCC[C@H]2C(C)(C)O)oc2ccc(F)cc12,-4.2381,0.8254,0.0128,0.904754358,2,3
CCCCCN(CCO)CC(=O)Nc1sc(B(O)O)c(C)c1C#N,-2.4249,0.4583,0.0282,0.348365044,4,7
